x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.465 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.594 66 57 66
1 3 6 1. 1. 1. 1. 1. 3. 21. 9. 4.514 61 21 57
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.498 57 48 57
1 3 6 0.524 0.524 0.524 0. 0. 3. 0. 0. 4.429 31 31 31
1 3 6 0. 0. 0. 1. 1. 3. 32. 23. 4.528 62 39 54
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.528 18 18 18
1 3 6 0. 0. 0. 1. 0. 3. 44. 0. 4.438 65 38 63
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.557 44 44 42
1 3 6 1. 1. 1. 1. 1. 3. 28. 15. 4.386 38 31 36
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.603 22 22 22
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.521 18 18 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.475 36 36 30
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.491 24 24 24
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.561 20 20 18
1 3 6 0. 0. 0. 1. 0. 3. 40. 0. 4.528 58 34 54
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.742 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.537 57 57 57
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.59 27 27 27
1 3 6 0. 0. 0. 1. 1. 3. 13. 13. 4.458 18 18 18
1 3 6 0. 0. 0. 1. 0. 3. 21. 0. 4.432 49 21 39
1 3 6 0.485 0.485 0.485 0. 0. 3. 0. 0. 4.386 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.346 51 51 49
1 3 6 2. 2. 2. 1. 1. 3. 13. 13. 4.465 18 18 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.478 72 54 72
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.574 25 25 25
1 3 6 0. 0. 0. 1. 0. 3. 25. 0. 4.326 56 21 48
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.438 20 20 18
1 3 6 1. 1. 1. 1. 1. 3. 12. 12. 4.339 20 20 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.508 66 57 66
1 3 6 0. 0. 0. 1. 1. 3. 32. 16. 4.419 42 32 42
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.541 66 66 66
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.353 17 17 15
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.363 16 16 12
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.471 21 21 21
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.415 15 15 11
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.425 66 39 66
1 3 6 0. 0. 0. 1. 1. 3. 26. 13. 4.356 38 29 36
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.696 20 20 18
1 3 6 1. 1. 1. 1. 1. 3. 16. 16. 4.531 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.537 39 33 37
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.471 17 17 15
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.402 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.481 22 22 22
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.544 17 17 15
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.534 25 25 25
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.442 16 16 12
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.455 34 29 26
1 3 6 0.415 0.415 0.415 0. 0. 3. 0. 0. 4.501 31 31 31
1 3 6 0. 0. 0. 1. 1. 3. 26. 13. 4.524 38 29 36
1 3 6 0. 0. 0. 1. 1. 3. 36. 20.666 4.587 72 45 72
1 3 6 0.455 0.455 0.455 0. 0. 3. 0. 0. 4.501 31 31 31
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.488 72 45 72
1 3 6 0.455 0.455 0.455 0. 0. 3. 0. 0. 4.607 31 31 31
1 3 6 2. 2. 2. 0. 0. 3. 0. 0. 4.468 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 40. 19.5 4.471 72 41 72
1 3 6 0. 0. 0. 1. 1. 3. 42. 13. 4.389 65 42 63
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.488 43 43 43
