x nb_comp nb_ap nb_modif_g nb_modif_l nb_modif_cent nb_msg_g nb_msg_l nb_msg_cent msg_size_g msg_size_l msg_size_cent tcl_size_g tcl_size_l tcl_size_cent
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.547 0 0 0
1 3 6 0.504 0.504 0.504 0. 0. 3. 0. 0. 4.389 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.531 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.531 15 15 11
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.462 0 0 0
1 3 6 0.504 0.504 0.504 0. 0. 3. 0. 0. 4.389 31 31 31
1 3 6 0.435 0.435 0.435 0. 0. 3. 0. 0. 4.623 31 31 31
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.462 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.363 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.531 0 0 0
1 3 6 1. 0.333 1. 2. 1.166 3. 36.5 23.2 4.59 74 50 72
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.537 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.488 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.544 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.699 19 19 15
1 3 6 2. 2. 2. 1. 1. 3. 10. 10. 4.57 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.514 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.458 0 0 0
1 3 6 1. 1. 1. 2. 2. 3. 15.5 9. 4.442 42 29 42
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.425 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.528 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.587 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.369 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.343 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.531 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.574 17 17 15
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.478 18 18 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.531 0 0 0
1 3 6 1. 1. 1. 2. 2. 3. 18. 9. 4.402 59 25 57
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.528 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.363 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.415 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.534 21 21 21
1 3 6 0. 0. 0. 1. 1. 3. 4. 4. 4.508 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.514 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.409 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.577 23 23 21
1 3 6 0.405 0.405 0.405 0. 0. 3. 0. 0. 4.557 31 31 31
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.333 19 19 15
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.438 20 20 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.419 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.448 16 16 12
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.465 21 21 21
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.594 0 0 0
1 3 6 1. 1. 1. 2. 2. 3. 13. 7. 4.514 61 21 57
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.498 0 0 0
1 3 6 0.524 0.524 0.524 0. 0. 3. 0. 0. 4.429 31 31 31
1 3 6 0. 0. 0. 1. 1. 3. 22. 22. 4.528 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.528 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.438 0 0 0
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.557 44 44 42
1 3 6 1. 1. 1. 2. 2. 3. 17.5 11. 4.386 38 31 36
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.603 18 18 18
1 3 6 1. 1. 1. 0. 0. 3. 0. 0. 4.521 18 18 18
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.475 0 0 0
1 3 6 0.5 0.5 0.5 0. 0. 3. 0. 0. 4.491 24 24 24
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.561 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.528 0 0 0
1 3 6 0. 0. 0. 0. 0. 3. 0. 0. 4.742 0 0 0
